date,port_ret,port_ret_net,nav,value
20250409,0.026578833326981993,0.026078833326981993,1.026078833326982,10260788.33326982
20250410,0.006507938251920961,0.006007938251920961,1.0322434515992134,10322434.515992133
20250411,0.020020640196381886,0.019520640196381885,1.052393504612953,10523935.046129528
20250414,0.003183968393949023,0.002683968393949023,1.0552180955173314,10552180.955173314
20250415,-0.01354532066081034,-0.01404532066081034,1.040397218998701,10403972.18998701
20250416,0.007414034259412108,0.006914034259412108,1.047590561014255,10475905.610142551
20250417,-0.0013823330846855168,-0.0018823330846855168,1.0456186466420536,10456186.466420537
20250418,0.012811512230740188,0.012311512230740188,1.0584917933988773,10584917.933988774
20250421,0.004498404793772294,0.003998404793772293,1.062724072059772,10627240.72059772
20250422,0.006232361447966674,0.005732361447966674,1.0688159905602737,10688159.905602736
20250423,-0.0053069513657823236,-0.005806951365782324,1.0626094280841196,10626094.280841196
20250424,0.0021952167886945336,0.0016952167886945336,1.064410781426433,10644107.81426433
20250425,-0.013631673040105225,-0.014131673040105226,1.0493688762829518,10493688.762829518
20250428,0.00757843252081644,0.007078432520816439,1.0567967630631656,10567967.630631655
20250429,0.006885271089483931,0.00638527108948393,1.063544696881813,10635446.96881813
20250430,0.022925591543309008,0.022425591543309007,1.0873953158421368,10873953.158421367
20250506,0.0066511659648649385,0.006151165964864938,1.0940840648992984,10940840.648992984
20250507,0.010377873358697677,0.009877873358697676,1.1048912887361428,11048912.887361428
20250508,-0.008164234874076349,-0.00866423487407635,1.095318251100212,10953182.51100212
20250509,0.004356279078210956,0.003856279078210956,1.0995421039559126,10995421.039559126
20250512,-0.0002993771566527581,-0.0007993771566527581,1.0986631551152322,10986631.551152322
20250513,0.0033249154079551535,0.0028249154079551535,1.1017667855902697,11017667.855902698
20250514,-0.006210462550554496,-0.0067104625505544965,1.0943734208361213,10943734.208361214
20250515,0.0039507445061616854,0.0034507445061616854,1.098149823905761,10981498.23905761
20250516,0.011824651104688954,0.011324651104688954,1.1105859875221693,11105859.875221694
20250519,0.015310001295747711,0.01481000129574771,1.127033767436412,11270337.67436412
20250520,-0.0017677651370403002,-0.0022677651370403003,1.1244779195503525,11244779.195503525
20250521,-0.015040501169371667,-0.015540501169371668,1.1070029691266476,11070029.691266477
20250522,-0.005735262966658783,-0.006235262966658783,1.100100514509271,11001005.14509271
20250523,0.011709928199010022,0.011209928199010021,1.112432562288614,11124325.62288614
20250526,0.0067845715771066685,0.006284571577106669,1.119423724351021,11194237.24351021
20250527,0.005096315954085229,0.004596315954085229,1.124568949474637,11245689.494746368
20250528,0.004622714669014571,0.004122714669014571,1.1292052263789543,11292052.263789542
20250529,-0.00981096296441294,-0.01031096296441294,1.1175620331105394,11175620.331105394
20250530,0.0007402891663314315,0.00024028916633143146,1.1178305711597991,11178305.71159799
20250603,0.01172841372536606,0.01122841372536606,1.1303820352876435,11303820.352876434
20250604,-0.0031902398770260686,-0.0036902398770260686,1.126210654424751,11262106.54424751
20250605,0.006422318686426587,0.005922318686426587,1.1328804328283033,11328804.328283032
20250606,0.01054815011792456,0.01004815011792456,1.1442637854830215,11442637.854830215
20250609,0.005499838587470707,0.004999838587470707,1.149984919711925,11499849.197119249
20250610,0.008943052417270735,0.008443052417270735,1.1596943026681237,11596943.026681237
20250611,-0.003756828630680542,-0.0042568286306805415,1.1547576827576889,11547576.827576889
20250612,0.005019569843771133,0.004519569843771132,1.1599766907575437,11599766.907575438
20250613,0.018413508472768646,0.017913508472768645,1.1807559430356431,11807559.430356432
20250616,0.003762429529857103,0.003262429529857103,1.184608076091757,11846080.76091757
20250617,-0.011080374519250268,-0.011580374519250269,1.1708898709120859,11708898.709120858
20250618,-0.012452303420567523,-0.012952303420567524,1.1557241500319633,11557241.500319634
20250619,-0.0013143576366399623,-0.0018143576366399623,1.1536272530945035,11536272.530945035
20250620,0.023657795350462307,0.023157795350462307,1.180342716932382,11803427.169323819
20250623,0.02040369415899137,0.019903694158991368,1.203835897372997,12038358.97372997
20250624,0.004620535349830424,0.004120535349830423,1.2087963457435171,12087963.457435172
20250625,0.0001396712649398557,-0.0003603287350601443,1.2083607816853101,12083607.816853102
20250626,0.006744457538636639,0.006244457538636639,1.215906339277898,12159063.39277898
20250627,0.006966246083462735,0.006466246083462735,1.2237686888821113,12237686.888821114
20250630,0.005223819273555141,0.004723819273555141,1.2295495510010257,12295495.510010257
20250701,0.010902251071264923,0.010402251071264922,1.2423396341350994,12423396.341350993
20250702,0.008873343370281339,0.008373343370281339,1.2527421704742223,12527421.704742223
20250703,-0.003903007714561224,-0.004403007714561224,1.2472263370332681,12472263.37033268
20250704,0.010224774029754524,0.009724774029754524,1.259355331324875,12593553.313248752
20250707,0.0034045619534324835,0.0029045619534324835,1.2630132069060938,12630132.069060938
20250708,0.02129592995298979,0.02079592995298979,1.289278741086614,12892787.41086614
20250709,0.015591017745653168,0.015091017745653168,1.3087352694474454,13087352.694474455
20250710,0.0028005509495119376,0.0023005509495119376,1.3117460816142326,13117460.816142326
20250711,0.012304886604418386,0.011804886604418386,1.3272310953614788,13272310.953614788
20250714,-0.014891208225346985,-0.015391208225346986,1.306803405209615,13068034.052096149
20250715,0.013690288093132708,0.013190288093132708,1.3240405186054165,13240405.186054165
20250716,0.007870833306396818,0.007370833306396818,1.3337998005589722,13337998.005589722
20250717,0.0025822376280487227,0.0020822376280487226,1.3365770886919799,13365770.886919798
20250718,0.018320748752922243,0.017820748752922243,1.3603958931784719,13603958.93178472
20250721,-0.0017025941403932987,-0.002202594140393299,1.357399493155542,13573994.93155542
20250722,-0.008264747686998863,-0.008764747686998864,1.3455022290875736,13455022.290875735
20250723,0.008524988175773096,0.008024988175773096,1.3562998685664776,13562998.685664775
20250724,0.005297856363236731,0.00479785636323673,1.3628072005213363,13628072.005213363
20250725,0.006063310905464969,0.005563310905464969,1.3703889206820428,13703889.206820428
20250728,-0.0025744788931020947,-0.0030744788931020947,1.366175688870065,13661756.88870065
20250729,-0.0025152089764749587,-0.0030152089764749587,1.362056383669542,13620563.836695421
