date,port_ret,port_ret_net,nav,value
20250409,0.014093081250148787,0.013593081250148787,1.0135930812501488,10135930.812501488
20250410,-0.005625757350837977,-0.0061257573508379775,1.0073840559819223,10073840.559819223
20250411,0.011057512568079873,0.010557512568079873,1.0180195258138347,10180195.258138347
20250414,0.0019992500115519744,0.0014992500115519744,1.0195457915996713,10195457.915996714
20250415,-0.002418526113544117,-0.002918526113544117,1.0165702205829337,10165702.205829337
20250416,-0.0039762802442200465,-0.004476280244220046,1.0120197673876759,10120197.673876759
20250417,-0.0007416044756973478,-0.0012416044756973477,1.0107632391149932,10107632.391149933
20250418,-0.0024920974306564016,-0.0029920974306564016,1.0077389370242353,10077389.370242354
20250421,-0.0010828621805098427,-0.0015828621805098427,1.0061438251729924,10061438.251729924
20250422,0.0024257224444554836,0.0019257224444554836,1.0080813789194785,10080813.789194785
20250423,-0.00044070316807235847,-0.0009407031680723585,1.0071330735726542,10071330.735726543
20250424,0.0003756423755533605,-0.00012435762444663949,1.007007828896123,10070078.28896123
20250425,-0.00183789984406484,-0.0023378998440648398,1.0046535454499748,10046535.454499748
20250428,-0.0045597666471761,-0.005059766647176099,0.9995702329487397,9995702.329487396
20250429,0.0015456483508285185,0.0010456483508285185,1.0006154319143599,10006154.319143599
20250430,0.005795675052859034,0.0052956750528590345,1.0059143660946546,10059143.660946546
20250506,0.008535372458131137,0.008035372458131136,1.01399726268721,10139972.6268721
20250507,-0.002276402245464188,-0.002776402245464188,1.0111819984101906,10111819.984101906
20250508,-0.0005602283879191594,-0.0010602283879191593,1.0101099145501233,10101099.145501234
20250509,0.005222541812216352,0.004722541812216352,1.0148802008565205,10148802.008565206
20250512,0.007353127297014417,0.006853127297014417,1.0218353040642099,10218353.0406421
20250513,0.000999908110500436,0.0004999081105004359,1.0223461278203072,10223461.278203072
20250514,-0.0026100100655769174,-0.0031100100655769175,1.0191666210722825,10191666.210722825
20250515,0.001950141640013281,0.001450141640013281,1.020644557027611,10206445.57027611
20250516,0.003979187896252056,0.0034791878962520564,1.0241955712167972,10241955.71216797
20250519,0.005062186406605629,0.004562186406605629,1.028868142329508,10288681.42329508
20250520,-0.001121681014738396,-0.001621681014738396,1.0271996463964232,10271996.463964233
20250521,-0.0013304611466394612,-0.0018304611466394612,1.0253193973538528,10253193.973538527
20250522,-0.0006235505792737128,-0.0011235505792737128,1.0241673991510154,10241673.991510155
20250523,0.0017333982713141239,0.0012333982713141239,1.0254306054506646,10254306.054506646
20250526,0.0034864157213385094,0.0029864157213385094,1.028492967531924,10284929.675319241
20250527,-0.00013579011484339266,-0.0006357901148433926,1.0278390618699813,10278390.618699813
20250528,0.00034839058587183836,-0.00015160941412816165,1.027683231791993,10276832.31791993
20250529,-0.00034828800541395475,-0.0008482880054139548,1.026811460433099,10268114.604330989
20250530,-0.004002662451195049,-0.004502662451195049,1.0221880750257502,10221880.750257501
20250603,0.003131179726551214,0.002631179726551214,1.0248776355654803,10248776.355654802
20250604,-0.000815010721139997,-0.001315010721139997,1.023529910486855,10235299.10486855
20250605,0.0010139789206570216,0.0005139789206570215,1.0240559832855072,10240559.832855072
